<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20130530,10.1,10.6,10.1,10.6,901200
AAA,20130529,10.1,10.5,10.0,10.2,1812900
AAA,20130528,9.0,10.1,9.0,10.0,399200
AAA,20130527,9.8,10.1,9.8,9.9,708000
AAA,20130524,9.7,9.8,9.6,9.7,294400
AAA,20130523,9.9,10.0,9.6,9.7,349300
AAA,20130522,9.8,10.0,9.8,9.9,639300
AAA,20130521,9.7,9.8,9.6,9.7,433000
AAA,20130520,9.6,9.6,9.5,9.6,154700
AAA,20130517,9.5,9.8,9.5,9.5,325900
AAA,20130516,9.4,9.5,9.4,9.5,179100
AAA,20130515,9.3,9.4,9.2,9.3,171300
AAA,20130514,9.5,9.5,9.3,9.3,131300
AAA,20130513,9.5,9.5,9.4,9.5,146900
AAA,20130510,9.5,9.5,9.3,9.4,204800
AAA,20130509,9.5,9.5,9.4,9.5,213900
AAA,20130508,9.4,9.5,9.3,9.4,112800
AAA,20130507,9.6,9.6,9.3,9.4,323300
AAA,20130506,9.6,9.7,9.4,9.6,204200
AAA,20130503,9.2,9.5,9.1,9.5,218100
AAA,20130502,9.2,9.3,9.1,9.2,102100
AAA,20130426,9.3,9.3,9.2,9.2,96500
AAA,20130425,9.3,9.3,9.2,9.3,112900
AAA,20130424,9.2,9.3,9.1,9.2,104400
AAA,20130423,9.1,9.2,9.1,9.2,158900
AAA,20130422,9.4,9.4,9.1,9.1,182400
AAA,20130418,9.5,9.5,9.2,9.3,130500
AAA,20130417,9.4,9.4,9.3,9.5,106400
AAA,20130416,9.2,9.4,9.2,9.3,312700
AAA,20130415,9.5,9.5,9.2,9.3,326800
AAA,20130412,9.7,9.8,9.5,9.5,357000
AAA,20130411,9.7,9.8,9.6,9.8,272200
AAA,20130410,10.1,10.1,9.7,9.7,508200
AAA,20130409,10.0,10.2,9.9,10.1,840700
AAA,20130408,9.6,9.8,9.6,9.8,565900
AAA,20130405,9.3,9.7,9.3,9.5,480900
AAA,20130404,9.3,9.3,9.2,9.3,90200
AAA,20130403,9.3,9.4,9.2,9.3,258900
AAA,20130402,9.5,9.6,9.4,9.3,172500
AAA,20130401,9.0,9.4,9.0,9.5,136800
AAA,20130329,9.1,9.1,8.9,9.1,183400
AAA,20130328,9.3,9.4,9.2,9.2,206800
AAA,20130327,9.3,9.3,9.2,9.3,92100
AAA,20130326,9.4,9.4,9.2,9.3,178000
AAA,20130325,9.2,9.4,9.2,9.3,192800
AAA,20130322,9.4,9.6,9.2,9.3,244100
AAA,20130321,9.4,9.5,9.3,9.5,218800
AAA,20130320,9.4,9.4,9.3,9.4,117800
AAA,20130319,9.3,9.4,9.3,9.3,55900
AAA,20130318,9.6,9.6,9.4,9.4,133300
AAA,20130315,9.5,9.5,9.3,9.5,194100
AAA,20130314,9.4,9.5,9.3,9.4,59200
AAA,20130313,9.5,9.5,9.2,9.4,185100
AAA,20130312,9.8,9.8,9.4,9.5,245800
AAA,20130311,9.6,9.8,9.4,9.7,299700
AAA,20130308,9.4,9.5,9.4,9.5,100900
AAA,20130307,9.5,9.5,9.2,9.3,205700
AAA,20130306,9.4,9.5,9.3,9.5,219400
AAA,20130305,9.4,9.6,9.2,9.3,278800
AAA,20130304,9.8,9.8,9.4,9.4,694700
AAA,20130301,9.9,10.0,9.7,9.8,310600
AAA,20130228,9.8,10.0,9.8,9.9,447400
AAA,20130227,9.6,9.8,9.5,9.7,317600
AAA,20130226,10.1,10.1,9.5,9.7,686200
AAA,20130225,10.1,10.2,9.9,10.1,490300
AAA,20130222,9.9,10.3,9.5,9.9,895500
AAA,20130221,10.9,10.9,9.8,9.8,1234700
AAA,20130220,10.7,10.8,10.7,10.8,1150300
AAA,20130219,10.3,11.1,10.1,10.7,2064700
AAA,20130218,10.1,10.4,10.0,10.2,795500
AAA,20130208,10.0,10.0,9.8,9.9,817100
AAA,20130207,9.9,10.0,9.8,9.9,396000
AAA,20130206,9.7,9.9,9.7,9.9,218800
AAA,20130205,9.8,9.8,9.6,9.7,164500
AAA,20130204,9.9,9.9,9.7,9.7,349400
