@relation financial_reports_2014.symbolic

@attribute v1 {very_low, low, middle, high, very_high}
low,low,low,very_low,very_low,low,low,low,high,high,high,high,high,high,middle,low
low,low,low,low,low,middle,low,low,middle,very_high,very_high,very_low,very_high,very_low,very_low,high
high,high,high,middle,middle,low,middle,low,very_low,very_high,very_high,low,very_high,low,very_low,middle
very_high,high,high,high,high,very_high,low,high,low,high,high,very_high,high,very_high,very_high,very_high
middle,middle,middle,middle,middle,high,middle,middle,middle,very_low,very_low,middle,very_low,middle,high,high
very_high,very_high,very_high,very_high,high,very_high,high,high,low,very_low,very_low,middle,very_low,very_high,very_high,very_high
high,very_high,very_high,very_high,very_high,very_high,high,high,middle,low,low,high,low,high,very_high,very_high
very_low,middle,middle,middle,middle,middle,very_high,very_high,middle,high,high,very_low,high,very_low,middle,high
very_low,very_low,very_low,low,low,low,middle,middle,high,very_high,very_high,high,very_high,low,low,middle
very_low,very_high,very_high,very_high,very_high,middle,very_high,very_high,very_low,middle,middle,very_low,middle,very_low,low,high
low,very_low,very_low,low,low,very_low,very_low,very_low,low,high,high,middle,high,low,very_low,very_low
high,high,very_high,high,very_high,high,high,high,very_low,very_high,very_high,very_high,very_high,low,middle,high
very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_high,high,high,very_high,high,very_high,very_low,very_low
very_low,very_low,very_low,very_low,very_low,very_low,middle,low,middle,very_high,very_high,middle,very_high,middle,very_low,very_low
low,very_low,low,very_low,very_low,very_low,low,low,high,low,low,low,low,middle,very_low,very_low
